Data e Ora;Intervallo;Bicicletta;Moto;Auto;Camion;Autobus;Velocità Media
24/01/2026 - 08:00:00;ora;6;7;385;9;7;6.49
24/01/2026 - 07:00:00;ora;3;6;294;6;13;9
24/01/2026 - 06:00:00;ora;5;2;191;4;6;12.71
24/01/2026 - 05:00:00;ora;2;1;101;4;4;14.4
24/01/2026 - 04:00:00;ora;0;0;61;3;0;16.12
24/01/2026 - 03:00:00;ora;0;0;65;0;1;16.5
24/01/2026 - 02:00:00;ora;10;1;120;3;0;17.04
24/01/2026 - 01:00:00;ora;12;4;178;0;0;17.49
24/01/2026 - 00:00:00;ora;30;6;268;2;1;15.04
23/01/2026 - 23:00:00;ora;42;9;300;4;0;15.32
23/01/2026 - 22:00:00;ora;35;9;280;0;3;14.42
23/01/2026 - 21:00:00;ora;40;16;284;0;3;13.18
23/01/2026 - 20:00:00;ora;68;29;407;0;3;7.91
23/01/2026 - 19:00:00;ora;54;10;490;0;3;5.53
23/01/2026 - 18:00:00;ora;74;5;489;1;3;5.99
23/01/2026 - 17:00:00;ora;131;17;449;3;3;5.3
23/01/2026 - 16:00:00;ora;104;38;415;3;3;6.25
23/01/2026 - 15:00:00;ora;72;11;458;5;7;8.08
23/01/2026 - 14:00:00;ora;110;19;401;7;6;10.34
23/01/2026 - 13:00:00;ora;139;108;399;12;8;6.11
23/01/2026 - 12:00:00;ora;108;75;355;6;4;6.73
23/01/2026 - 11:00:00;ora;120;62;379;4;6;6.02
23/01/2026 - 10:00:00;ora;97;78;364;10;2;5.29
23/01/2026 - 09:00:00;ora;99;80;458;8;7;5.71
23/01/2026 - 08:00:00;ora;115;54;510;11;6;6.9
23/01/2026 - 07:00:00;ora;71;50;391;6;7;8.31
23/01/2026 - 06:00:00;ora;29;6;252;10;4;11.16
23/01/2026 - 05:00:00;ora;11;4;112;8;1;15.47
23/01/2026 - 04:00:00;ora;6;1;36;13;2;14.84
23/01/2026 - 03:00:00;ora;3;0;37;6;0;16.7
23/01/2026 - 02:00:00;ora;3;0;58;1;0;17.24
23/01/2026 - 01:00:00;ora;14;2;94;0;0;19.49
23/01/2026 - 00:00:00;ora;20;0;133;2;1;16.81
22/01/2026 - 23:00:00;ora;20;8;196;3;2;15.61
22/01/2026 - 22:00:00;ora;17;3;238;0;1;14.42
22/01/2026 - 21:00:00;ora;46;5;255;0;2;13.63
22/01/2026 - 20:00:00;ora;72;12;360;1;5;9.28
22/01/2026 - 19:00:00;ora;90;17;476;0;6;5.14
22/01/2026 - 18:00:00;ora;79;22;463;0;2;5
22/01/2026 - 17:00:00;ora;108;27;475;2;2;4.46
22/01/2026 - 16:00:00;ora;127;37;412;3;5;6.61
22/01/2026 - 15:00:00;ora;116;44;495;0;4;6.74
22/01/2026 - 14:00:00;ora;113;51;396;11;4;7.77
22/01/2026 - 13:00:00;ora;106;68;402;3;4;7.09
22/01/2026 - 12:00:00;ora;116;57;383;9;5;5.7
22/01/2026 - 11:00:00;ora;122;65;363;15;4;5.31
22/01/2026 - 10:00:00;ora;115;39;331;6;4;6.64
